dataset_a,dataset_b,weight,n_shared_models
ARC (AI2 Reasoning Challenge),bbh_sports_understanding,0.797579128923755,1
ARC (AI2 Reasoning Challenge),bbh_movie_recommendation,0.7503429843470946,1
ARC (AI2 Reasoning Challenge),bbh_disambiguation_qa,0.736134845688285,125
ARC (AI2 Reasoning Challenge),bbh_boolean_expressions,0.7229990484707577,0
ARC (AI2 Reasoning Challenge),bbh_date_understanding,0.6973864187496162,1
ARC (AI2 Reasoning Challenge),bbh_ruin_names,0.6847236437409286,0
ARC (AI2 Reasoning Challenge),Big-bench Hard,0.6751316403052524,0
ARC (AI2 Reasoning Challenge),bbh_logical_deduction_five_objects,0.6737259305089125,0
ARC (AI2 Reasoning Challenge),bbh_causal_judgement,0.6668485960246124,123
ARC (AI2 Reasoning Challenge),bbh_object_counting,0.6597949638992067,2
ARC (tr),bbh_tracking_shuffled_objects_three_objects,0.8679659654837922,4
ARC (tr),bbh_temporal_sequences,0.8142108459504378,0
ARC (tr),bbh_date_understanding,0.8022971309416288,5
ARC (tr),GPQA,0.7866294719154114,4
ARC (tr),bbh_formal_fallacies,0.7822415864548272,4
ARC (tr),bbh_logical_deduction_five_objects,0.7657569570705436,0
ARC (tr),bbh_ruin_names,0.7536552969670267,0
ARC (tr),Big-bench Hard,0.727397282884329,6
ARC (tr),bbh_hyperbaton,0.7253457219722815,0
ARC (tr),bbh_causal_judgement,0.5903556322983591,0
Big-bench Hard,bbh_reasoning_about_colored_objects,0.96454771558367,2192
Big-bench Hard,MMLU-Pro,0.9588070807495578,2
Big-bench Hard,bbh_penguins_in_a_table,0.9580943120649902,2230
Big-bench Hard,bbh_logical_deduction_five_objects,0.9569177984953917,3
Big-bench Hard,bbh_logical_deduction_seven_objects,0.9528598947846908,4
Big-bench Hard,bbh_logical_deduction_three_objects,0.9519944287886231,1
Big-bench Hard,bbh_salient_translation_error_detection,0.9450341438162184,2237
Big-bench Hard,bbh_ruin_names,0.9207522904620471,2207
Big-bench Hard,bbh_date_understanding,0.9120673513308745,8
Big-bench Hard,bbh_snarks,0.8552219333051675,2199
"BigBenchHard (3 shot, CoT)",PopQA (15 shot),0.9479599457664495,0
"BigBenchHard (3 shot, CoT)",bbh_disambiguation_qa,0.524553559807684,3
"BigBenchHard (3 shot, CoT)",bbh_movie_recommendation,0.4594979601970482,0
"BigBenchHard (3 shot, CoT)",bbh_snarks,0.2720123529784477,0
"BigBenchHard (3 shot, CoT)",gpqa_diamond,0.27095632945559817,0
"BigBenchHard (3 shot, CoT)",Big-bench Hard,0.2612916108278806,0
"BigBenchHard (3 shot, CoT)",bbh_ruin_names,0.2339052388786343,0
"BigBenchHard (3 shot, CoT)",math_hard,0.21841784711000747,1
"BigBenchHard (3 shot, CoT)",gpqa,0.20846028166092834,0
"BigBenchHard (3 shot, CoT)",math_counting_and_prob_hard,0.202481573458789,0
GPQA,gpqa,0.9468162173941446,2228
GPQA,gpqa_extended,0.8309870901097475,2243
GPQA,Big-bench Hard,0.800936672636985,2222
GPQA,bbh_logical_deduction_three_objects,0.7910725483168068,4
GPQA,MMLU-Pro,0.789218113830127,1
GPQA,ARC (tr),0.7866294719154114,5
GPQA,gpqa_diamond,0.7846784032458726,2284
GPQA,bbh_logical_deduction_five_objects,0.7727067686605691,2
GPQA,bbh_logical_deduction_seven_objects,0.7625873847364893,4
GPQA,bbh_penguins_in_a_table,0.7625500785027653,2266
MMLU-Pro,Big-bench Hard,0.9588070807495578,2222
MMLU-Pro,bbh_reasoning_about_colored_objects,0.941851404757737,1
MMLU-Pro,bbh_penguins_in_a_table,0.9398113644808441,4
MMLU-Pro,bbh_logical_deduction_three_objects,0.9179471268494518,0
MMLU-Pro,bbh_logical_deduction_seven_objects,0.914712659314364,1
MMLU-Pro,bbh_salient_translation_error_detection,0.9146434123449033,2236
MMLU-Pro,bbh_logical_deduction_five_objects,0.9129127527260869,8
MMLU-Pro,bbh_date_understanding,0.8897503229634222,1
MMLU-Pro,bbh_ruin_names,0.8816815414107515,2224
MMLU-Pro,gpqa,0.8344080784772361,2287
NQ,PIQA,0.9614338236442177,0
NQ,bbh_date_understanding,0.7831913836788407,0
NQ,musr_object_placements,0.7741891513998184,5
NQ,bbh_geometric_shapes,0.7102394396490087,0
NQ,bbh_salient_translation_error_detection,0.7069666469390724,0
NQ,math_algebra_hard,0.6909334609985924,5
NQ,bbh_ruin_names,0.6754295941962128,0
NQ,musr_team_allocation,0.6534594217586953,4
NQ,GPQA,0.6179623576765914,0
NQ,bbh_temporal_sequences,0.6117064634336493,2
OpenBookQA,musr_murder_mysteries,0.475174263158125,4
OpenBookQA,musr_object_placements,0.34403016633016054,4
OpenBookQA,bbh_tracking_shuffled_objects_seven_objects,0.2469190340263157,5
OpenBookQA,bbh_tracking_shuffled_objects_five_objects,0.21040581828976962,3
OpenBookQA,GPQA,0.1512420366270006,0
OpenBookQA,bbh_formal_fallacies,0.14039284802927623,0
OpenBookQA,TriviaQA,0.0532092402928723,0
OpenBookQA,gpqa_diamond,0.01843239752329213,5
OpenBookQA (10-shot),bbh_tracking_shuffled_objects_five_objects,0.9950351185294525,0
