model_a,model_b,weight,n_shared_datasets
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-mdpo-2e-6-3ep-0alp-0lam,0.9854351009645004,23
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-1e-6-2ep-0alp-0lam,0.980455476974134,22
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-5e-7-2ep-0alp-0lam,0.978930682083825,24
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,83k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,0.9777386155734775,28
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpop-3e-7-3ep-0alp-5lam,0.9772096981234949,27
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,0.9747027650312974,27
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,reasoning-0-5b,0.9724211632487001,28
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-mdpo-0-5-1e-7-2ep-0alp-0lam,0.9720524291176017,26
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-2e-6-2ep-0alp-0lam,0.971454989687479,22
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,40k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,0.9703324183003711,29
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,test-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,0.9678757857846423,25
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,10prymmal-3b-slerp,0.9353152979910517,29
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,ece-eiffel-3bv2,0.9249960394722279,23
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,ece-prymmal-3b-slerp-v1,0.9184671469949323,24
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,ece-prymmal-3b-slerp-v2,0.9165073749617613,24
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,ilab-merging-3b-v2,0.9078962769772636,28
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,3bgeneral-ece-prymmal-martial,0.9078816514494598,23
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,general3b-ece-prymmal-martial,0.900410122816999,24
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,ece-prymmal-yl-3b-slerp-v3,0.8756793686194354,26
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,lareneg3b-ece-prymmal-martial,0.8713131115244894,22
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,83k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,0.9889441412387243,27
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-1e-6-2ep-0alp-0lam,0.9872510402146629,22
10k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,40k-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,0.9844975076415398,28
