model_a,model_b,weight
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-3e-6-1ep-0alp-0lam,0.9999999999999998
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-3e-6-2ep-0alp-0lam,0.9999999999999998
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-3e-6-3ep-0alp-0lam,0.9999999999999998
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-3e-7-3ep-0alp-0lam,0.9999999999999998
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-5e-6-1ep-0alp-0lam,0.9999999999999998
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-math-1-5b-instruct,0.9999999999999998
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-5e-6-2ep-0alp-0lam,0.9999999999999998
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-5e-6-3ep-0alp-0lam,0.9999999999999998
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-5e-7-1ep-0alp-0lam,0.9999999999999998
100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen2-5-0-5b-sft-2e-5-2ep-dpo-5e-7-2ep-0alp-0lam,0.9999999999999998
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi4-turn-r1distill-16bit,1.0
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi-4-bnb-4bit,1.0
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,test-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,1.0
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,chemeng-phi-3-mini-4k-instruct-bnb-4bit-16-4-100-1-nonmath,1.0
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,phi-4-unsloth-bnb-4bit,1.0
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,3prymmal-phi3-3b-slerp,0.9630314584816695
10k-continued-pretraining-phi-3-mini-4k-instruct-unsloth-merged-16bit,calme-2-2-phi3-4b,0.9511020742205647
