,model,architectures,model_type,number_of_parameters,number_of_labels,labels,memory_consumption,dataset,accuracy
0,sheared-llama-1-3b,llama,llama,3000000000.0,,,12000000000.0,PIQA,0.7340000000000001
1,orca-2-7b,orca,orca,7000000000.0,,,28000000000.0,DROP Test,0.6026
2,orca-2-13b,orca,orca,13000000000.0,,,52000000000.0,DROP Test,0.5797
3,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_boolean_expressions,0.756
4,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_causal_judgement,0.4705882352941176
5,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_date_understanding,0.264
6,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_disambiguation_qa,0.324
7,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_formal_fallacies,0.456
8,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_geometric_shapes,0.244
9,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_hyperbaton,0.484
10,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_logical_deduction_seven_objects,0.144
11,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_logical_deduction_three_objects,0.352
12,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_movie_recommendation,0.432
13,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_navigate,0.548
14,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_object_counting,0.292
15,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_penguins_in_a_table,0.2465753424657534
16,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_reasoning_about_colored_objects,0.168
17,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_salient_translation_error_detection,0.168
18,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_snarks,0.4269662921348314
19,100k-fineweb-continued-pretraining-qwen2-5-0-5b-instruct-unsloth-merged-16bit,qwen,qwen,5000000000.0,,,20000000000.0,bbh_temporal_sequences,0.148
